pool	type	individual_id
YS-HJ-4-H	Liver	YS-HJ-4
YS-HJ-4-I	Intestine	YS-HJ-4
YS-HJ-4-K	Kidney	YS-HJ-4
YS-HJ-4-M	Muscles	YS-HJ-4
YS-HJ-4-P	Skin	YS-HJ-4
YS-HJ-4-S	Spleen	YS-HJ-4
YS-HJ-5-B	Brain	YS-HJ-5
YS-HJ-5-G	Gill	YS-HJ-5
YS-HJ-5-H	Liver	YS-HJ-5
YS-HJ-5-I	Intestine	YS-HJ-5
YS-HJ-5-K	Kidney	YS-HJ-5
YS-HJ-5-M	Muscles	YS-HJ-5
YS-HJ-5-P	Skin	YS-HJ-5
YS-HJ-5-S	Spleen	YS-HJ-5
YS-HJ-6-B	Brain	YS-HJ-6
YS-HJ-6-G	Gill	YS-HJ-6
YS-HJ-6-H	Liver	YS-HJ-6
YS-HJ-6-I	Intestine	YS-HJ-6
YS-HJ-6-K	Kidney	YS-HJ-6
YS-HJ-6-M	Muscles	YS-HJ-6
YS-HJ-6-P	Skin	YS-HJ-6
YS-HJ-6-S	Spleen	YS-HJ-6
YS-HKL-1-B	Brain	YS-HKL-1
YS-HKL-1-G	Gill	YS-HKL-1
YS-HKL-1-H	Liver	YS-HKL-1
YS-HKL-1-I	Intestine	YS-HKL-1
YS-HKL-1-K	Kidney	YS-HKL-1
YS-HKL-1-M	Muscles	YS-HKL-1
YS-HKL-1-P	Skin	YS-HKL-1
YS-HKL-1-S	Spleen	YS-HKL-1
YS-HKL-2-B	Brain	YS-HKL-2
YS-HKL-2-G	Gill	YS-HKL-2
YS-HKL-2-H	Liver	YS-HKL-2
YS-HKL-2-I	Intestine	YS-HKL-2
YS-HKL-2-K	Kidney	YS-HKL-2
YS-HKL-2-M	Muscles	YS-HKL-2
YS-HKL-2-P	Skin	YS-HKL-2
YS-HKL-2-S	Spleen	YS-HKL-2
YS-HKL-3-B	Brain	YS-HKL-3
YS-HKL-3-G	Gill	YS-HKL-3
YS-HKL-3-H	Liver	YS-HKL-3
YS-HKL-3-I	Intestine	YS-HKL-3
YS-HKL-3-K	Kidney	YS-HKL-3
YS-HKL-3-M	Muscles	YS-HKL-3
YS-HKL-3-P	Skin	YS-HKL-3
YS-HKL-3-S	Spleen	YS-HKL-3
YS-HM-1-B	Brain	YS-HM-1
YS-HM-1-G	Gill	YS-HM-1
YS-HM-1-H	Liver	YS-HM-1
YS-HM-1-I	Intestine	YS-HM-1
YS-HM-1-K	Kidney	YS-HM-1
YS-HM-1-M	Muscles	YS-HM-1
YS-HM-1-P	Skin	YS-HM-1
YS-HM-1-S	Spleen	YS-HM-1
YS-HM-2-B	Brain	YS-HM-2
YS-HM-2-G	Gill	YS-HM-2
YS-HM-2-H	Liver	YS-HM-2
YS-HM-2-I	Intestine	YS-HM-2
YS-HM-2-K	Kidney	YS-HM-2
YS-HM-2-M	Muscles	YS-HM-2
YS-HM-2-P	Skin	YS-HM-2
YS-HM-2-S	Spleen	YS-HM-2
YS-HM-3-B	Brain	YS-HM-3
YS-HM-3-G	Gill	YS-HM-3
YS-HM-3-H	Liver	YS-HM-3
YS-HM-3-I	Intestine	YS-HM-3
YS-HM-3-K	Kidney	YS-HM-3
YS-HM-3-M	Muscles	YS-HM-3
YS-HM-3-P	Skin	YS-HM-3
YS-HM-3-S	Spleen	YS-HM-3
YS-HM-4-B	Brain	YS-HM-4
YS-HM-4-G	Gill	YS-HM-4
YS-HM-4-H	Liver	YS-HM-4
YS-HM-4-I	Intestine	YS-HM-4
YS-HM-4-K	Kidney	YS-HM-4
YS-HM-4-M	Muscles	YS-HM-4
YS-HM-4-P	Skin	YS-HM-4
YS-HM-4-S	Spleen	YS-HM-4
YS-HSLT-1-B	Brain	YS-HSLT-1
YS-HSLT-1-G	Gill	YS-HSLT-1
YS-HSLT-1-H	Liver	YS-HSLT-1
YS-HSLT-1-I	Intestine	YS-HSLT-1
YS-HSLT-1-K	Kidney	YS-HSLT-1
YS-HSLT-1-M	Muscles	YS-HSLT-1
YS-HSLT-1-P	Skin	YS-HSLT-1
YS-HSLT-1-S	Spleen	YS-HSLT-1
YS-HSLT-2-B	Brain	YS-HSLT-2
YS-HSLT-2-G	Gill	YS-HSLT-2
YS-HSLT-2-H	Liver	YS-HSLT-2
YS-HSLT-2-I	Intestine	YS-HSLT-2
YS-HSLT-2-K	Kidney	YS-HSLT-2
YS-HSLT-2-M	Muscles	YS-HSLT-2
YS-HSLT-2-P	Skin	YS-HSLT-2
