individual_id	organ_code	tissue	lib_index
YS-DSLT-2	H	Liver	YS-DSLT-2-H
YS-DSLT-2	I	Intestine	YS-DSLT-2-I
YS-DSLT-2	K	Kidney	YS-DSLT-2-K
YS-DSLT-2	M	Muscles	YS-DSLT-2-M
YS-DSLT-2	P	Skin	YS-DSLT-2-P
YS-DSLT-2	S	Spleen	YS-DSLT-2-S
YS-DSLT-3	B	Brain	YS-DSLT-3-B
YS-DSLT-3	G	Gill	YS-DSLT-3-G
YS-DSLT-3	H	Liver	YS-DSLT-3-H
YS-DSLT-3	I	Intestine	YS-DSLT-3-I
YS-DSLT-3	K	Kidney	YS-DSLT-3-K
YS-DSLT-3	M	Muscles	YS-DSLT-3-M
YS-DSLT-3	P	Skin	YS-DSLT-3-P
YS-DSLT-3	S	Spleen	YS-DSLT-3-S
YS-DZTT-1	B	Brain	YS-DZTT-1-B
YS-DZTT-1	G	Gill	YS-DZTT-1-G
YS-DZTT-1	H	Liver	YS-DZTT-1-H
YS-DZTT-1	I	Intestine	YS-DZTT-1-I
YS-DZTT-1	K	Kidney	YS-DZTT-1-K
YS-DZTT-1	M	Muscles	YS-DZTT-1-M
YS-DZTT-1	P	Skin	YS-DZTT-1-P
YS-DZTT-1	S	Spleen	YS-DZTT-1-S
YS-HBSZ-1	B	Brain	YS-HBSZ-1-B
YS-HBSZ-1	G	Gill	YS-HBSZ-1-G
YS-HBSZ-1	H	Liver	YS-HBSZ-1-H
YS-HBSZ-1	I	Intestine	YS-HBSZ-1-I
YS-HBSZ-1	K	Kidney	YS-HBSZ-1-K
YS-HBSZ-1	M	Muscles	YS-HBSZ-1-M
YS-HBSZ-1	P	Skin	YS-HBSZ-1-P
YS-HBSZ-1	S	Spleen	YS-HBSZ-1-S
YS-HBSZ-2	B	Brain	YS-HBSZ-2-B
YS-HBSZ-2	G	Gill	YS-HBSZ-2-G
YS-HBSZ-2	H	Liver	YS-HBSZ-2-H
YS-HBSZ-2	I	Intestine	YS-HBSZ-2-I
YS-HBSZ-2	K	Kidney	YS-HBSZ-2-K
YS-HBSZ-2	M	Muscles	YS-HBSZ-2-M
YS-HBSZ-2	P	Skin	YS-HBSZ-2-P
YS-HBSZ-2	S	Spleen	YS-HBSZ-2-S
YS-HBSZ-3	B	Brain	YS-HBSZ-3-B
YS-HBSZ-3	G	Gill	YS-HBSZ-3-G
YS-HBSZ-3	H	Liver	YS-HBSZ-3-H
YS-HBSZ-3	I	Intestine	YS-HBSZ-3-I
YS-HBSZ-3	K	Kidney	YS-HBSZ-3-K
