lib_id	count
YS-JXY-3-I	1
YS-JXY-3-K	1
YS-JXY-3-M	1
YS-JXY-3-P	0
YS-JXY-3-S	1
YS-JZH-1-B	0
YS-JZH-1-G	0
YS-JZH-1-H	0
YS-JZH-1-I	0
YS-JZH-1-K	0
YS-JZH-1-M	0
YS-JZH-1-P	0
YS-JZH-1-S	0
YS-JZH-2-B	0
YS-JZH-2-G	0
YS-JZH-2-H	1
YS-JZH-2-I	0
YS-JZH-2-K	0
YS-JZH-2-M	0
YS-JZH-2-P	0
YS-JZH-2-S	0
YS-JZH-3-B	0
YS-JZH-3-G	0
YS-JZH-3-H	0
YS-JZH-3-I	0
YS-JZH-3-K	0
YS-JZH-3-M	0
YS-JZH-3-P	0
YS-JZH-3-S	0
YS-KSCDXGY-1-B	0
YS-KSCDXGY-1-G	0
YS-KSCDXGY-1-H	0
YS-KSCDXGY-1-I	0
YS-KSCDXGY-1-K	0
YS-KSCDXGY-1-M	0
YS-KSCDXGY-1-P	0
YS-KSCDXGY-1-S	0
YS-KSCDXGY-2-B	0
YS-KSCDXGY-2-G	0
YS-KSCDXGY-2-H	0
YS-KSCDXGY-2-I	0
YS-KSCDXGY-2-K	0
YS-KSCDXGY-2-M	0
YS-KSCDXGY-2-P	0
YS-KSCDXGY-2-S	0
YS-KSCDXGY-3-B	0
YS-KSCDXGY-3-G	0
YS-KSCDXGY-3-H	0
YS-KSCDXGY-3-I	0
YS-KSCDXGY-3-K	0
YS-KSCDXGY-3-M	0
YS-KSCDXGY-3-P	0
YS-KSCDXGY-3-S	0
YS-LBYKF-1-B	0
YS-LBYKF-1-G	0
YS-LBYKF-1-H	1
YS-LBYKF-1-I	0
YS-LBYKF-1-K	0
YS-LBYKF-1-M	0
YS-LBYKF-1-P	0
YS-LBYKF-1-S	0
YS-LBYKF-2-B	0
YS-LBYKF-2-G	0
YS-LBYKF-2-H	0
YS-LBYKF-2-I	1
YS-LBYKF-2-K	0
YS-LBYKF-2-M	0
YS-LBYKF-2-P	0
YS-LBYKF-2-S	0
YS-LBYKF-3-B	0
YS-LBYKF-3-G	0
YS-LBYKF-3-H	1
YS-LBYKF-3-I	0
YS-LBYKF-3-K	0
YS-LBYKF-3-M	0
YS-LBYKF-3-P	0
YS-LBYKF-3-S	0
YS-LTY-1-B	1
YS-LTY-1-G	2
YS-LTY-1-H	1
YS-LTY-1-I	3
YS-LTY-1-K	2
YS-LTY-1-M	1
YS-LTY-1-P	1
YS-LTY-1-S	1
YS-LTY-2-B	0
YS-LTY-2-G	0
YS-LTY-2-H	1
YS-LTY-2-I	1
YS-LTY-2-K	0
YS-LTY-2-M	0
YS-LTY-2-P	0
YS-LTY-2-S	0
YS-LTY-3-B	1
YS-LTY-3-G	1
YS-LTY-3-H	1
YS-LTY-3-I	2
YS-LTY-3-K	1
YS-LTY-3-M	1
YS-LTY-3-P	1
YS-LTY-3-S	2
YS-LY-2-B	0
YS-LY-2-G	0
YS-LY-2-H	0
YS-LY-2-I	1
YS-LY-2-K	0
YS-LY-2-M	0
YS-LY-2-P	0
YS-LY-2-S	0
YS-LY-3-B	0
YS-LY-3-G	0
YS-LY-3-H	0
YS-LY-3-I	0
YS-LY-3-K	0
YS-LY-3-M	0
YS-LY-3-P	0
YS-LY-3-S	0
YS-LYS-3-B	0
YS-LYS-3-G	0
YS-LYS-3-H	0
YS-LYS-3-I	0
YS-LYS-3-K	0
YS-LYS-3-M	0
YS-LYS-3-P	0
YS-LYS-3-S	2
YS-LYXHY-1-B	0
YS-LYXHY-1-G	0
YS-LYXHY-1-H	0
YS-LYXHY-1-I	0
YS-LYXHY-1-K	1
YS-LYXHY-1-M	1
YS-LYXHY-1-P	1
YS-LYXHY-1-S	1
YS-LYXHY-2-B	0
YS-LYXHY-2-G	0
YS-LYXHY-2-H	1
YS-LYXHY-2-I	0
YS-LYXHY-2-K	0
YS-LYXHY-2-M	0
YS-LYXHY-2-P	1
YS-LYXHY-2-S	1
YS-LYXHY-3-B	1
YS-LYXHY-3-G	2
YS-LYXHY-3-H	2
YS-LYXHY-3-I	2
YS-LYXHY-3-K	2
YS-LYXHY-3-M	2
YS-LYXHY-3-P	1
YS-LYXHY-3-S	2
YS-LZMB-1-B	0
YS-LZMB-1-G	0
YS-LZMB-1-H	2
YS-LZMB-1-I	1
YS-LZMB-1-K	1
YS-LZMB-1-M	1
YS-LZMB-1-P	1
YS-LZMB-1-S	0
YS-LZMB-2-B	0
YS-LZMB-2-G	0
YS-LZMB-2-H	0
YS-LZMB-2-I	0
YS-LZMB-2-K	0
YS-LZMB-2-M	0
YS-LZMB-2-P	0
YS-LZMB-2-S	0
YS-LZMB-3-B	0
YS-LZMB-3-G	0
YS-LZMB-3-H	0
YS-LZMB-3-I	3
YS-LZMB-3-K	0
YS-LZMB-3-M	0
YS-LZMB-3-P	0
YS-LZMB-3-S	0
YS-LZY-1-B	0
YS-LZY-1-G	0
YS-LZY-1-H	0
YS-LZY-1-I	0
YS-LZY-1-K	0
YS-LZY-1-M	0
YS-LZY-1-P	0
YS-LZY-1-S	1
YS-LZY-2-B	0
YS-LZY-2-G	0
YS-LZY-2-H	0
YS-LZY-2-I	1
YS-LZY-2-K	0
YS-LZY-2-M	0
YS-LZY-2-P	0
YS-LZY-2-S	1
YS-LZY-3-B	0
YS-LZY-3-G	0
YS-LZY-3-H	0
YS-LZY-3-I	0
YS-LZY-3-K	0
YS-LZY-3-M	0
YS-LZY-3-P	0
YS-LZY-3-S	0
YS-MSXX-1-B	1
YS-MSXX-1-G	1
YS-MSXX-1-H	1
YS-MSXX-1-I	1
YS-MSXX-1-K	0
YS-MSXX-1-M	1
YS-MSXX-1-P	1
YS-MSXX-1-S	1
YS-MSXX-2-B	1
YS-MSXX-2-G	1
YS-MSXX-2-H	1
YS-MSXX-2-I	1
YS-MSXX-2-K	1
YS-MSXX-2-M	0
YS-MSXX-2-P	1
YS-MSXX-2-S	0
YS-MSXX-3-B	1
YS-MSXX-3-G	1
YS-MSXX-3-H	1
YS-MSXX-3-I	2
YS-MSXX-3-K	1
YS-MSXX-3-M	1
YS-MSXX-3-P	1
YS-MSXX-3-S	1
YS-PSJGY-1-B	0
YS-PSJGY-1-G	1
YS-PSJGY-1-H	1
YS-PSJGY-1-I	0
YS-PSJGY-1-K	1
YS-PSJGY-1-M	1
YS-PSJGY-1-P	1
