"Pathogen","Pathogen taxa","Classification","Category","Tissue","Positive_libraries","Detected"
"Polydactylus sextarius picornavirus","Picorna","RNA virus","RNA","Brain",0,FALSE
"Psenopsis anomala picornavirus","Picorna","RNA virus","RNA","Intestine",1,TRUE
"Psenopsis anomala picornavirus","Picorna","RNA virus","RNA","Spleen",0,FALSE
"Psenopsis anomala picornavirus","Picorna","RNA virus","RNA","Kidney",0,FALSE
"Psenopsis anomala picornavirus","Picorna","RNA virus","RNA","Skin",0,FALSE
"Psenopsis anomala picornavirus","Picorna","RNA virus","RNA","Gill",0,FALSE
"Psenopsis anomala picornavirus","Picorna","RNA virus","RNA","Liver",0,FALSE
"Psenopsis anomala picornavirus","Picorna","RNA virus","RNA","Muscles",0,FALSE
"Psenopsis anomala picornavirus","Picorna","RNA virus","RNA","Brain",0,FALSE
"Gymnothorax reevesii picornavirus","Picorna","RNA virus","RNA","Intestine",1,TRUE
"Gymnothorax reevesii picornavirus","Picorna","RNA virus","RNA","Spleen",2,TRUE
"Gymnothorax reevesii picornavirus","Picorna","RNA virus","RNA","Kidney",1,TRUE
"Gymnothorax reevesii picornavirus","Picorna","RNA virus","RNA","Skin",4,TRUE
"Gymnothorax reevesii picornavirus","Picorna","RNA virus","RNA","Gill",4,TRUE
"Gymnothorax reevesii picornavirus","Picorna","RNA virus","RNA","Liver",1,TRUE
"Gymnothorax reevesii picornavirus","Picorna","RNA virus","RNA","Muscles",4,TRUE
"Gymnothorax reevesii picornavirus","Picorna","RNA virus","RNA","Brain",1,TRUE
"Micropterus salmoides reovirus","Reo","RNA virus","RNA","Intestine",1,TRUE
"Micropterus salmoides reovirus","Reo","RNA virus","RNA","Spleen",1,TRUE
"Micropterus salmoides reovirus","Reo","RNA virus","RNA","Kidney",1,TRUE
"Micropterus salmoides reovirus","Reo","RNA virus","RNA","Skin",0,FALSE
"Micropterus salmoides reovirus","Reo","RNA virus","RNA","Gill",0,FALSE
"Micropterus salmoides reovirus","Reo","RNA virus","RNA","Liver",1,TRUE
"Micropterus salmoides reovirus","Reo","RNA virus","RNA","Muscles",0,FALSE
"Micropterus salmoides reovirus","Reo","RNA virus","RNA","Brain",0,FALSE
"Wenzhou pacific spadenose shark reovirus 2","Reo","RNA virus","RNA","Intestine",1,TRUE
"Wenzhou pacific spadenose shark reovirus 2","Reo","RNA virus","RNA","Spleen",1,TRUE
"Wenzhou pacific spadenose shark reovirus 2","Reo","RNA virus","RNA","Kidney",1,TRUE
"Wenzhou pacific spadenose shark reovirus 2","Reo","RNA virus","RNA","Skin",1,TRUE
"Wenzhou pacific spadenose shark reovirus 2","Reo","RNA virus","RNA","Gill",1,TRUE
"Wenzhou pacific spadenose shark reovirus 2","Reo","RNA virus","RNA","Liver",1,TRUE
"Wenzhou pacific spadenose shark reovirus 2","Reo","RNA virus","RNA","Muscles",1,TRUE
"Wenzhou pacific spadenose shark reovirus 2","Reo","RNA virus","RNA","Brain",0,FALSE
"Nanhai reo-like virus 1","Reo","RNA virus","RNA","Intestine",0,FALSE
"Nanhai reo-like virus 1","Reo","RNA virus","RNA","Spleen",1,TRUE
"Nanhai reo-like virus 1","Reo","RNA virus","RNA","Kidney",0,FALSE
"Nanhai reo-like virus 1","Reo","RNA virus","RNA","Skin",0,FALSE
"Nanhai reo-like virus 1","Reo","RNA virus","RNA","Gill",0,FALSE
"Nanhai reo-like virus 1","Reo","RNA virus","RNA","Liver",0,FALSE
"Nanhai reo-like virus 1","Reo","RNA virus","RNA","Muscles",0,FALSE
"Nanhai reo-like virus 1","Reo","RNA virus","RNA","Brain",0,FALSE
"Nanhai reo-like virus 2","Reo","RNA virus","RNA","Intestine",0,FALSE
"Nanhai reo-like virus 2","Reo","RNA virus","RNA","Spleen",2,TRUE
"Nanhai reo-like virus 2","Reo","RNA virus","RNA","Kidney",2,TRUE
"Nanhai reo-like virus 2","Reo","RNA virus","RNA","Skin",1,TRUE
"Nanhai reo-like virus 2","Reo","RNA virus","RNA","Gill",0,FALSE
"Nanhai reo-like virus 2","Reo","RNA virus","RNA","Liver",0,FALSE
"Nanhai reo-like virus 2","Reo","RNA virus","RNA","Muscles",0,FALSE
"Nanhai reo-like virus 2","Reo","RNA virus","RNA","Brain",0,FALSE
"Nanhai reo-like virus 4","Reo","RNA virus","RNA","Intestine",1,TRUE
"Nanhai reo-like virus 4","Reo","RNA virus","RNA","Spleen",2,TRUE
"Nanhai reo-like virus 4","Reo","RNA virus","RNA","Kidney",1,TRUE
"Nanhai reo-like virus 4","Reo","RNA virus","RNA","Skin",0,FALSE
"Nanhai reo-like virus 4","Reo","RNA virus","RNA","Gill",1,TRUE
"Nanhai reo-like virus 4","Reo","RNA virus","RNA","Liver",1,TRUE
"Nanhai reo-like virus 4","Reo","RNA virus","RNA","Muscles",1,TRUE
"Nanhai reo-like virus 4","Reo","RNA virus","RNA","Brain",1,TRUE
"Nanhai reo-like virus 5","Reo","RNA virus","RNA","Intestine",0,FALSE
"Nanhai reo-like virus 5","Reo","RNA virus","RNA","Spleen",5,TRUE
"Nanhai reo-like virus 5","Reo","RNA virus","RNA","Kidney",3,TRUE
"Nanhai reo-like virus 5","Reo","RNA virus","RNA","Skin",1,TRUE
"Nanhai reo-like virus 5","Reo","RNA virus","RNA","Gill",1,TRUE
"Nanhai reo-like virus 5","Reo","RNA virus","RNA","Liver",0,FALSE
"Nanhai reo-like virus 5","Reo","RNA virus","RNA","Muscles",0,FALSE
"Nanhai reo-like virus 5","Reo","RNA virus","RNA","Brain",0,FALSE
"Nanhai reo-like virus 6","Reo","RNA virus","RNA","Intestine",0,FALSE
"Nanhai reo-like virus 6","Reo","RNA virus","RNA","Spleen",5,TRUE
"Nanhai reo-like virus 6","Reo","RNA virus","RNA","Kidney",3,TRUE
"Nanhai reo-like virus 6","Reo","RNA virus","RNA","Skin",1,TRUE
"Nanhai reo-like virus 6","Reo","RNA virus","RNA","Gill",0,FALSE
"Nanhai reo-like virus 6","Reo","RNA virus","RNA","Liver",0,FALSE
"Nanhai reo-like virus 6","Reo","RNA virus","RNA","Muscles",0,FALSE
