host_order	species	species_abbreviation	lib_index	total_reads	qc_filtered_reads	qc_retained_pct	pre_rRNA_reads	qc_filtered_loss_reads	qc_filtered_loss_pct	rRNA_reads	rRNA_reads_pct	rRNA_reads_pct_total	remaining_reads	remaining_reads_pct	remaining_reads_pct_total	remaining_reads_pct_input
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-2-P	83081884	83081842	99.99994944746318	71982648	11099236	13.35939372775899	1735558	2.411078292090616	2.0889728499657036	70247090	97.58892170790938	84.5516334222753	97.5889217
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-2-S	100339788	100339780	99.99999202709098	63828466	36511322	36.387681026394034	4215848	6.604965251710734	4.201571564014068	59612618	93.39503474828926	59.4107474095919	93.3950347
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-3-B	128714424	128714396	99.99997824641626	120331416	8383008	6.512873801929145	861894	0.7162668143122325	0.6696172606109786	119469522	99.28373318568777	92.81750893745988	99.2837332
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-3-G	124072438	124072432	99.99999516411533	119156976	4915462	3.961767882726702	1316514	1.1048568402742949	1.061084976826199	117840462	98.8951431597257	94.9771471404471	98.8951432
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-3-H	89428664	89428664	100	75956842	13471822	15.064322105941335	13370062	17.602182565725943	14.950533086349138	62586780	82.39781743427406	69.98514480770953	82.3978174
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-3-I	80587566	80587564	99.99999751822756	70265270	10322296	12.8087948455969	1204822	1.7146763970308518	1.4950470150692974	69060448	98.28532360296914	85.6961581393338	98.2853236
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-3-K	78713188	78713184	99.99999491825945	69026984	9686204	12.305693932762576	612916	0.8879368103349264	0.7786700241387758	68414068	99.11206318966508	86.91563604309864	99.1120632
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-3-M	75604028	75603972	99.99992592987242	64723256	10880772	14.39178875495893	396698	0.6129141587067252	0.5247048477364196	64326558	99.38708584129327	85.08350639730465	99.3870858
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-3-P	90676776	90676540	99.99973973490191	81852120	8824656	9.731991353552313	910644	1.1125478484857814	1.0042747880670129	80941476	98.88745215151422	89.26373385838068	98.8874522
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-3-S	82268758	82268758	100	72336262	9932496	12.07322954845143	856422	1.1839456122297278	1.0410051407364143	71479840	98.81605438777027	86.88576531081216	98.8160544
Scombriformes	Pampus argenteus	Pa. argenteus	YS-YC-3-B	75249588	75249562	99.9999654483158	72426342	2823246	3.7518424685594294	456874	0.6308119219937961	0.6071448524076969	71969468	99.3691880780062	95.64101267903287	99.3691881
Scombriformes	Pampus argenteus	Pa. argenteus	YS-YC-3-G	77538718	77538706	99.99998452386072	74737662	2801056	3.6124610675146833	725870	0.9712238523062174	0.936138768763239	74011792	99.02877614769378	95.45140016372208	99.0287761
Scombriformes	Pampus argenteus	Pa. argenteus	YS-YC-3-H	71292838	71292834	99.99999438933824	68804782	2488056	3.4899101646086805	712710	1.0358437005148857	0.999693685921158	68092072	98.96415629948511	95.51039614947017	98.9641563
Scombriformes	Pampus argenteus	Pa. argenteus	YS-YC-3-I	74986942	74986922	99.99997332868968	71437150	3549792	4.733880200102039	533044	0.7461719847446322	0.7108490969000976	70904106	99.25382801525537	94.55527070299786	99.253828
Scombriformes	Pampus argenteus	Pa. argenteus	YS-YC-3-K	73938658	73938630	99.99996213077061	71323956	2614702	3.5363124929857395	589616	0.8266731587350539	0.7974394125465464	70734340	99.17332684126495	95.66624809446772	99.1733268
