"lib_index","abundance_RPM","individual_id","tissue_types","log10_RPM_plus_1"
"YS-RBJXY-1-I",1.453424224,"YS-RBJXY-1","Intestine",0.389772648986236
"YS-RBJXY-2-I",0,"YS-RBJXY-2","Intestine",0
"YS-RBJXY-3-I",0,"YS-RBJXY-3","Intestine",0
"YS-RWXLT-1-I",3.315889802,"YS-RWXLT-1","Intestine",0.635070347272621
"YS-RWXLT-2-I",29.576556781,"YS-RWXLT-2","Intestine",1.48538857802839
"YS-RWXLT-3-I",12.908759318,"YS-RWXLT-3","Intestine",1.1432883920066
"YS-SDYY-1-I",15.461554076,"YS-SDYY-1","Intestine",1.21647083298874
"YS-SDYY-2-I",7.503498547,"YS-SDYY-2","Intestine",0.929597641838392
"YS-SDYY-3-I",0,"YS-SDYY-3","Intestine",0
"YS-SLS-2-I",0,"YS-SLS-2","Intestine",0
"YS-SLS-3-I",0,"YS-SLS-3","Intestine",0
"YS-SQHN-1-I",1.162309146,"YS-SQHN-1","Intestine",0.334917785271232
"YS-SQHN-2-I",2.494855365,"YS-SQHN-2","Intestine",0.543429207125432
"YS-SQHN-3-I",0,"YS-SQHN-3","Intestine",0
"YS-SZMB-1-I",11.633256564,"YS-SZMB-1","Intestine",1.10151531615085
"YS-Y-1-I",0,"YS-Y-1","Intestine",0
"YS-Y-2-I",0,"YS-Y-2","Intestine",0
"YS-YC-3-I",0,"YS-YC-3","Intestine",0
"YS-Z-1-I",0,"YS-Z-1","Intestine",0
"YS-Z-2-I",0,"YS-Z-2","Intestine",0
"YS-Z-3-I",0,"YS-Z-3","Intestine",0
"YS-ZBTTT-1-I",41.568295674,"YS-ZBTTT-1","Intestine",1.62908626248171
"YS-ZBTTT-2-I",0,"YS-ZBTTT-2","Intestine",0
"YS-ZBTTT-3-I",6.326675741,"YS-ZBTTT-3","Intestine",0.864906971256406
"YS-ZY-1-I",0,"YS-ZY-1","Intestine",0
"YS-BGY-1-S",0,"YS-BGY-1","Spleen",0
"YS-BGY-2-S",54.06299388,"YS-BGY-2","Spleen",1.74085982111861
"YS-BGY-3-S",0,"YS-BGY-3","Spleen",0
"YS-BJ-1-S",0,"YS-BJ-1","Spleen",0
"YS-BJ-2-S",0,"YS-BJ-2","Spleen",0
"YS-BJ-3-S",0,"YS-BJ-3","Spleen",0
"YS-CBLT-1-S",0,"YS-CBLT-1","Spleen",0
"YS-CBLT-2-S",0,"YS-CBLT-2","Spleen",0
"YS-CBLT-3-S",0,"YS-CBLT-3","Spleen",0
"YS-CC-1-S",21.2256191,"YS-CC-1","Spleen",1.34685386718866
"YS-CC-2-S",0,"YS-CC-2","Spleen",0
"YS-CC-3-S",0,"YS-CC-3","Spleen",0
"YS-CHLT-1-S",0,"YS-CHLT-1","Spleen",0
"YS-CHLT-2-S",0,"YS-CHLT-2","Spleen",0
"YS-CHLT-3-S",6.632058168,"YS-CHLT-3","Spleen",0.882641671699335
"YS-CTSZ-1-S",1221.922872338,"YS-CTSZ-1","Spleen",3.08739906768693
"YS-CTSZ-2-S",1123.598617744,"YS-CTSZ-2","Spleen",3.05099754537779
"YS-CTSZ-3-S",11.55373051,"YS-CTSZ-3","Spleen",1.09877280144739
"YS-DHY-1-S",0,"YS-DHY-1","Spleen",0
"YS-DHY-2-S",0,"YS-DHY-2","Spleen",0
"YS-DLLY-1-S",0,"YS-DLLY-1","Spleen",0
"YS-DSLT-1-S",0,"YS-DSLT-1","Spleen",0
"YS-DSLT-2-S",3.862580862,"YS-DSLT-2","Spleen",0.686866836468139
"YS-DSLT-3-S",0,"YS-DSLT-3","Spleen",0
"YS-DZTT-1-S",0,"YS-DZTT-1","Spleen",0
"YS-HBSZ-1-S",0,"YS-HBSZ-1","Spleen",0
"YS-HBSZ-2-S",0,"YS-HBSZ-2","Spleen",0
"YS-HBSZ-3-S",0,"YS-HBSZ-3","Spleen",0
"YS-HJ-1-S",0,"YS-HJ-1","Spleen",0
"YS-HJ-2-S",0,"YS-HJ-2","Spleen",0
"YS-HJ-3-S",0,"YS-HJ-3","Spleen",0
"YS-HJ-4-S",0,"YS-HJ-4","Spleen",0
"YS-HJ-5-S",0,"YS-HJ-5","Spleen",0
"YS-HJ-6-S",0,"YS-HJ-6","Spleen",0
"YS-HKL-1-S",0,"YS-HKL-1","Spleen",0
"YS-HKL-2-S",0,"YS-HKL-2","Spleen",0
"YS-HKL-3-S",0,"YS-HKL-3","Spleen",0
"YS-HM-1-S",0,"YS-HM-1","Spleen",0
"YS-HM-2-S",1.881604731,"YS-HM-2","Spleen",0.459634408497913
"YS-HM-3-S",0,"YS-HM-3","Spleen",0
"YS-HM-4-S",1.785205073,"YS-HM-4","Spleen",0.444857177532517
"YS-HSLT-1-S",0,"YS-HSLT-1","Spleen",0
"YS-HSLT-2-S",0,"YS-HSLT-2","Spleen",0
"YS-HSLT-3-S",0,"YS-HSLT-3","Spleen",0
"YS-JSXSD-1-S",0,"YS-JSXSD-1","Spleen",0
"YS-JSXSD-2-S",8.407635977,"YS-JSXSD-2","Spleen",0.973480504284911
"YS-JSXSD-3-S",0,"YS-JSXSD-3","Spleen",0
"YS-JTZCS-1-S",75.04466406,"YS-JTZCS-1","Spleen",1.88106874566582
"YS-JXY-1-S",289.1167171,"YS-JXY-1","Spleen",2.46257275443213
"YS-JXY-2-S",0,"YS-JXY-2","Spleen",0
"YS-JXY-3-S",2210.059687,"YS-JXY-3","Spleen",3.34460046640724
"YS-JZH-1-S",0,"YS-JZH-1","Spleen",0
"YS-JZH-2-S",0,"YS-JZH-2","Spleen",0
"YS-JZH-3-S",0,"YS-JZH-3","Spleen",0
"YS-KSCDXGY-1-S",0,"YS-KSCDXGY-1","Spleen",0
"YS-KSCDXGY-2-S",0,"YS-KSCDXGY-2","Spleen",0
"YS-KSCDXGY-3-S",0,"YS-KSCDXGY-3","Spleen",0
"YS-LBYKF-1-S",0,"YS-LBYKF-1","Spleen",0
"YS-LBYKF-2-S",0,"YS-LBYKF-2","Spleen",0
"YS-LBYKF-3-S",0,"YS-LBYKF-3","Spleen",0
"YS-LTY-1-S",939.8172888,"YS-LTY-1","Spleen",2.97350528955843
"YS-LTY-2-S",0,"YS-LTY-2","Spleen",0
"YS-LTY-3-S",346.41995214,"YS-LTY-3","Spleen",2.54085475612456
"YS-LY-2-S",0,"YS-LY-2","Spleen",0
"YS-LY-3-S",0,"YS-LY-3","Spleen",0
"YS-LYS-3-S",67.49622548,"YS-LYS-3","Spleen",1.83566664012932
"YS-LYXHY-1-S",16.3416345,"YS-LYXHY-1","Spleen",1.23909002860021
"YS-LYXHY-2-S",3.75075657,"YS-LYXHY-2","Spleen",0.676762777627319
"YS-LYXHY-3-S",1700.07308551,"YS-LYXHY-3","Spleen",3.23072297319624
"YS-LZMB-1-S",0,"YS-LZMB-1","Spleen",0
"YS-LZMB-2-S",0,"YS-LZMB-2","Spleen",0
"YS-LZMB-3-S",0,"YS-LZMB-3","Spleen",0
"YS-LZY-1-S",24.9225628,"YS-LZY-1","Spleen",1.41367793527256
"YS-LZY-2-S",40.2309134,"YS-LZY-2","Spleen",1.61522295595551
"YS-LZY-3-S",0,"YS-LZY-3","Spleen",0
"YS-MSXX-1-S",2.427672554,"YS-MSXX-1","Spleen",0.534999327025
"YS-MSXX-2-S",0,"YS-MSXX-2","Spleen",0
"YS-MSXX-3-S",76.38505294,"YS-MSXX-3","Spleen",1.88865708403491
"YS-PSJGY-1-S",15.16915692,"YS-PSJGY-1","Spleen",1.20868737584102
"YS-PSJGY-2-S",0,"YS-PSJGY-2","Spleen",0
"YS-PSJGY-3-S",0,"YS-PSJGY-3","Spleen",0
"YS-QLXSD-1-S",0,"YS-QLXSD-1","Spleen",0
"YS-QLXSD-2-S",0,"YS-QLXSD-2","Spleen",0
"YS-QLXSD-3-S",0,"YS-QLXSD-3","Spleen",0
"YS-QXDDY-1-S",105.9709025,"YS-QXDDY-1","Spleen",2.02926565990735
"YS-QXDDY-2-S",0,"YS-QXDDY-2","Spleen",0
"YS-QXDDY-3-S",720.625087007,"YS-QXDDY-3","Spleen",2.85831162286998
"YS-RBJXY-1-S",0,"YS-RBJXY-1","Spleen",0
"YS-RBJXY-2-S",0,"YS-RBJXY-2","Spleen",0
"YS-RBJXY-3-S",0,"YS-RBJXY-3","Spleen",0
"YS-RWXLT-1-S",23.641008475,"YS-RWXLT-1","Spleen",1.39165847809324
"YS-RWXLT-2-S",7.607990269,"YS-RWXLT-2","Spleen",0.93490176736948
"YS-RWXLT-3-S",63.43395574,"YS-RWXLT-3","Spleen",1.80911479444301
"YS-SDYY-1-S",7.069477648,"YS-SDYY-1","Spleen",0.906845422958327
"YS-SDYY-2-S",0,"YS-SDYY-2","Spleen",0
"YS-SDYY-3-S",0,"YS-SDYY-3","Spleen",0
"YS-SLS-2-S",0,"YS-SLS-2","Spleen",0
"YS-SLS-3-S",0,"YS-SLS-3","Spleen",0
"YS-SQHN-1-S",0,"YS-SQHN-1","Spleen",0
"YS-SQHN-2-S",12.9326604,"YS-SQHN-2","Spleen",1.14403405157994
"YS-SQHN-3-S",0,"YS-SQHN-3","Spleen",0
"YS-SZMB-1-S",3.172680828,"YS-SZMB-1","Spleen",0.620415166418006
"YS-Y-1-S",0,"YS-Y-1","Spleen",0
