lib_id,Wenzhou pacific spadenose shark astrovirus 2,Nanhai astrovirus LZMB,Telatrygon zugei hepacivirus,Odontamblyopus rubicundus hepacivirus,Johnius belangerii hepacivirus,Bombay duck fish bornavirus,Paramonacanthus sulcatus filovirus,Nanhai filovirus 2,Nanhai filovirus 3,Nanhai rhabdovirus 1,Nanhai paramyxovirus 1,Nanhai paramyxovirus 2,Psenopsis anomala artervirus,Nanhai amnoonvirus 1,Arius arius calicivirus,Bregmaceros mcclellandi picornavirus,Leiognathus ruconius picornavirus,Polydactylus sextarius picornavirus,Psenopsis anomala picornavirus,Gymnothorax reevesii picornavirus,Asian seabass Nervous Necrosis Virus,Micropterus salmoides reovirus,Wenzhou pacific spadenose shark reovirus 2,Nanhai reo-like virus 1,Nanhai reo-like virus 2,Nanhai reo-like virus 4,Nanhai reo-like virus 5,Nanhai reo-like virus 6,Nanhai reo-like virus 7,Osteomugil cunnesius hepadna-like virus,Nanhai hepadna-like virus 1,Nanhai circo-like virus 2,Nanhai parvovirus LTY1,Marble sleepy goby iridovirus,Nanhai papillomavirus ZBTTT,Nanhai papillomavirus HM,Nanhai retrovirus 1,Nanhai retrovirus 2,Clostridium sp. SQHN,Clostridium sp. Y,Aliivibrio fischeri,Photobacterium sp.,Photobacterium damselae,Photobacterium sp. QLXSD,Photobacterium swingsii,Vibrio sp. Y,Vibrio ponticus,Acinetobacter johnsonii,Pseudomonas aeruginosa,Besnoitia sp. HKL,Cystoisospora sp. DSLT-2,Sarcocystidae sp. SZMB,Sarcocystidae sp. DSLT,Toxoplasma sp. LZY,Eimeriorina sp. RWXLT,Eimeria sp. SZMB,Glugea plecoglossi,Pseudoloma sp. FJ,Toxocaridae sp. Z,Toxocara sp. CTSZ,Toxocara sp. LYS,Taeniidae sp. HBSZ,Taeniidae sp. QLXSDD,Taeniidae sp. LZY,Opisthorchiidae sp. SZMB,Hydatigera sp. SDYY,Lepeophtheirus sp. SQHN,Caligus sp. RWXLT
YS_CTSZ_3_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.664894347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_CTSZ_3_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.806629474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_CTSZ_3_K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.774823882,0,0,0,2.039870529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_CTSZ_3_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.469024518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_CTSZ_3_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.081145173,0,0,0,1.500694047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.97189129,0,0,0,0,0,0,0,0
YS_DHY_2_B,0,0,0,0,0,0,0,0.634575993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_DHY_2_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.160702625,0,0,0,0,0,0
YS_DLLY_1_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267702116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_DSLT_2_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18326763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_DSLT_2_K,0,0,0,0,0,0,0,0,1.712438238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_DSLT_2_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.04784733,0,0,0,0,0,0,0,0
YS_DSLT_2_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37981931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_DSLT_2_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.862580862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_DSLT_3_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.608124087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_DZTT_1_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.478248646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HBSZ_2_H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.715658317,0,0,0,0,0,0,0,0
YS_HBSZ_2_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.421909111,0,3.084311603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57134353,0,0,0,9.097684226,0,0,0,0
YS_HBSZ_2_K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.268560282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HBSZ_3_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.886031544,0,0,0,0,0,0
YS_HJ_3_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.831828347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HKL_1_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.037311215,0,1.05258471,0,0,0,0,0,2.134007357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HKL_1_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55145286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HKL_2_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.071833613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HM_1_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.503540797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HM_1_K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538723882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HM_1_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.126935373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HM_1_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.33742605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HM_2_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97915798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HM_2_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.755776408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HM_2_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64727013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HM_2_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.6488752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HM_2_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.881604731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HM_3_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.610899865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_HM_3_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.28368886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
