node_id	label	node_type	node_zone	host_label	species	host_class	host_order	family	genus	classification	taxonomy	novelty	multi_tissue_distribution	connected_hosts	connected_orders	x	y	angle_degrees	radius
pathogen::Nanhai rhabdovirus 1	Nanhai rhabdovirus 1	Virus	outer							RNA virus	Mono-Chu	Novel	No	1	1	0.352819468885961	1.06824314759095	71.7226380323407	1.125
pathogen::Nanhai paramyxovirus 1	Nanhai paramyxovirus 1	Virus	outer							RNA virus	Mono-Chu	Novel	No	1	1	-0.675442160127881	-0.899668210131814	233.101948377168	1.125
pathogen::Nanhai paramyxovirus 2	Nanhai paramyxovirus 2	Virus	outer							RNA virus	Mono-Chu	Novel	No	1	1	1.08217082296435	0.307459444357573	15.8605690668234	1.125
pathogen::Psenopsis anomala artervirus	Psenopsis anomala artervirus	Virus	outer							RNA virus	Nido	Novel	Yes	1	1	1.04258487790472	0.422660351067387	22.0674656185476	1.125
pathogen::Nanhai amnoonvirus 1	Nanhai amnoonvirus 1	Virus	outer							RNA virus	Orthomyxo	Novel	No	1	1	0.478484890648255	-1.01817346725464	295.17091389441	1.125
pathogen::Arius arius calicivirus	Arius arius calicivirus	Virus	outer							RNA virus	Picorna	Novel	Yes	1	1	0.00674118303825322	-1.12497980268592	270.343327687513	1.125
pathogen::Bregmaceros mcclellandi picornavirus	Bregmaceros mcclellandi picornavirus	Virus	outer							RNA virus	Picorna	Novel	No	1	1	-1.12296496259727	-0.0676364752106355	183.446775963375	1.125
pathogen::Thryssa dussumieri picornavirus	Thryssa dussumieri picornavirus	Virus	outer							RNA virus	Picorna	Novel	Yes	1	1	-0.23525382548694	-1.10012755514702	257.929534584065	1.125
pathogen::Leiognathus ruconius picornavirus	Leiognathus ruconius picornavirus	Virus	outer							RNA virus	Picorna	Novel	No	1	1	0.36559607585341	-1.06393820747287	288.964017342686	1.125
pathogen::Polydactylus sextarius picornavirus	Polydactylus sextarius picornavirus	Virus	outer							RNA virus	Picorna	Novel	Yes	1	1	0.23525382548694	1.10012755514702	77.9295345840648	1.125
pathogen::Psenopsis anomala picornavirus	Psenopsis anomala picornavirus	Virus	outer							RNA virus	Picorna	Novel	No	1	1	0.990775578396098	0.53290595160298	28.2743621702718	1.125
pathogen::Gymnothorax reevesii picornavirus	Gymnothorax reevesii picornavirus	Virus	outer							RNA virus	Picorna	Novel	Yes	1	1	-0.00674118303825311	1.12497980268592	90.3433276875131	1.125
pathogen::Micropterus salmoides reovirus	Micropterus salmoides reovirus	Virus	outer							RNA virus	Reo	Known	Yes	1	1	-0.114930046078709	-1.1191139729752	264.136431135789	1.125
pathogen::Wenzhou pacific spadenose shark reovirus 2	Wenzhou pacific spadenose shark reovirus 2	Virus	outer							RNA virus	Reo	Known	Yes	1	1	0.686175378270692	-0.89150902982251	307.584706997858	1.125
pathogen::Nanhai reo-like virus 1	Nanhai reo-like virus 1	Virus	outer							RNA virus	Reo	Novel	No	1	1	-0.86178106783435	0.723158620997003	139.998500101306	1.125
pathogen::Nanhai reo-like virus 2	Nanhai reo-like virus 2	Virus	outer							RNA virus	Reo	Novel	Yes	1	1	-0.934916470558151	0.625744511025938	146.20539665303	1.125
pathogen::Nanhai reo-like virus 4	Nanhai reo-like virus 4	Virus	outer							RNA virus	Reo	Novel	Yes	1	1	1.1236948831818	-0.054173882185472	357.239879411651	1.125
pathogen::Nanhai reo-like virus 5	Nanhai reo-like virus 5	Virus	inner							RNA virus	Reo	Novel	Yes	3	3	0.659001621120763	-0.0362886119906249	356.848131307607	0.66
pathogen::Nanhai reo-like virus 6	Nanhai reo-like virus 6	Virus	inner							RNA virus	Reo	Novel	Yes	2	2	-0.0845507000771841	0.26685335511706	107.580456774481	0.279927729996107
