source	target	host_label	host_species	host_class	host_order	pathogen	RPM	log10_RPM_plus1
host::La. spadiceus	pathogen::Nanhai papillomavirus ZBTTT	La. spadiceus	Lagocephalus spadiceus	Actinopteri	Tetraodontiformes	Nanhai papillomavirus ZBTTT	33.784144671	1.5413813286874314
host::Gy. reevesii	pathogen::Nanhai papillomavirus HM	Gy. reevesii	Gymnothorax reevesii	Actinopteri	Anguilliformes	Nanhai papillomavirus HM	1.538723882	0.4046154684811546
host::Ar. arius	pathogen::Clostridium sp. SQHN	Ar. arius	Arius arius	Actinopteri	Siluriformes	Clostridium sp. SQHN	1.162309146	0.3349177852712322
host::La. crocea	pathogen::Clostridium sp. Y	La. crocea	Larimichthys crocea	Actinopteri	Eupercaria incertae sedis	Clostridium sp. Y	2.756101081	0.5747372711153286
host::In. japonica	pathogen::Clostridium sp. Y	In. japonica	Inegocia japonica	Actinopteri	Perciformes	Clostridium sp. Y	2.615264086	0.5581400269150578
host::Th. hamiltonii	pathogen::Aliivibrio fischeri	Th. hamiltonii	Thryssa hamiltonii	Actinopteri	Clupeiformes	Aliivibrio fischeri	6.00254608	0.8452559753640644
host::Ne. japonicus	pathogen::Aliivibrio fischeri	Ne. japonicus	Nemipterus japonicus	Actinopteri	Spariformes	Aliivibrio fischeri	1.453424224	0.38977264898623626
host::La. spadiceus	pathogen::Aliivibrio fischeri	La. spadiceus	Lagocephalus spadiceus	Actinopteri	Tetraodontiformes	Aliivibrio fischeri	2.314637466	0.5204360349653354
host::Pa. sulcatus	pathogen::Aliivibrio fischeri	Pa. sulcatus	Paramonacanthus sulcatus	Actinopteri	Tetraodontiformes	Aliivibrio fischeri	4.92942613	0.773012662903127
host::Sa. undosquamis	pathogen::Photobacterium sp.	Sa. undosquamis	Saurida undosquamis	Actinopteri	Aulopiformes	Photobacterium sp.	2.421909111	0.5342684701041537
host::Il. melastoma	pathogen::Photobacterium sp.	Il. melastoma	Ilisha melastoma	Actinopteri	Clupeiformes	Photobacterium sp.	5.109144828	0.7859804209669523
host::Sa. fijiensis	pathogen::Photobacterium sp.	Sa. fijiensis	Sardinella fijiensis	Actinopteri	Clupeiformes	Photobacterium sp.	1.021428867	0.3056584633481877
