Organ	Input_row	Full_name	Display_name	Abundance	Positive_count	Classification	Known_pathogen
Kidney	26	Sarcocystidae sp. SZMB	Sarcocystidae sp. SZMB	0.315232531474665	1	Eukaryota	FALSE
Kidney	27	Glugea plecoglossi	Glugea plecoglossi	0.978099327060336	1	Eukaryota	TRUE
Kidney	28	Toxocara sp. CTSZ	Toxocara sp. CTSZ	0.420495516731695	1	Eukaryota	FALSE
Liver	2	Toxocara sp. CTSZ	Toxocara sp. CTSZ	0.842803607372989	5	Eukaryota	FALSE
Liver	3	Nanhai retrovirus 1	Nanhai retrovirus 1	1.65968303276068	3	RNA virus	FALSE
Liver	4	Odontamblyopus rubicundus hepacivirus	Odon. rubicundus hepacivirus	2.525534656308	2	RNA virus	FALSE
Liver	5	Bombay duck fish bornavirus	Bombay duck fish bornavirus	1.95602220439503	2	RNA virus	TRUE
Liver	6	Arius arius calicivirus	Arius arius calicivirus	0.922638733698569	2	RNA virus	FALSE
Liver	7	Leiognathus ruconius picornavirus	Leio. ruconius picornavirus	1.24504474640803	2	RNA virus	FALSE
Liver	8	Telatrygon zugei hepacivirus	Telatrygon zugei hepacivirus	0.984099996075903	1	RNA virus	FALSE
Liver	9	Johnius belangerii hepacivirus	Johnius belangerii hepacivirus	1.87089482448608	1	RNA virus	FALSE
Liver	10	Thryssa dussumieri picornavirus	Thryssa dussumieri picornavirus	0.664243856431819	1	RNA virus	FALSE
Liver	11	Polydactylus sextarius picornavirus	Poly. sextarius picornavirus	2.94628117456044	1	RNA virus	FALSE
Liver	12	Gymnothorax reevesii picornavirus	Gymn. reevesii picornavirus	0.301732580000568	1	RNA virus	FALSE
Liver	13	Micropterus salmoides reovirus	Micropterus salmoides reovirus	1.56230996342397	1	RNA virus	TRUE
Liver	14	Wenzhou pacific spadenose shark reovirus 2	Wenzhou ps shark reovirus 2	0.552383764104114	1	RNA virus	TRUE
Liver	15	Nanhai reo-like virus 4	Nanhai reo-like virus 4	1.52685200499903	1	RNA virus	FALSE
Liver	16	Nanhai reo-like virus 7	Nanhai reo-like virus 7	0.754098342590723	1	RNA virus	FALSE
Liver	17	Nanhai retrovirus 2	Nanhai retrovirus 2	0.792201792792778	1	RNA virus	FALSE
Liver	18	Clostridium sp. Y	Clostridium sp. Y	0.318652528289703	1	Bacteria	TRUE
Liver	19	Photobacterium damselae	Photobacterium damselae	0.997566550919052	1	Bacteria	TRUE
Liver	20	Glugea plecoglossi	Glugea plecoglossi	0.547622487165034	1	Eukaryota	TRUE
Muscle	2	Gymnothorax reevesii picornavirus	Gymn. reevesii picornavirus	1.63088708874938	4	RNA virus	FALSE
Muscle	3	Bombay duck fish bornavirus	Bombay duck fish bornavirus	2.84762567082003	2	RNA virus	TRUE
Muscle	4	Nanhai reo-like virus 7	Nanhai reo-like virus 7	0.643861541987424	2	RNA virus	FALSE
Muscle	5	Nanhai retrovirus 1	Nanhai retrovirus 1	0.73526760306819	2	RNA virus	FALSE
Muscle	6	Odontamblyopus rubicundus hepacivirus	Odon. rubicundus hepacivirus	0.738215226429835	1	RNA virus	FALSE
Muscle	7	Johnius belangerii hepacivirus	Johnius belangerii hepacivirus	0.651517969169403	1	RNA virus	FALSE
Muscle	8	Arius arius calicivirus	Arius arius calicivirus	1.05074267554233	1	RNA virus	FALSE
Muscle	9	Polydactylus sextarius picornavirus	Poly. sextarius picornavirus 1	0.49304771019047	1	RNA virus	FALSE
Muscle	10	Asian seabass Nervous Necrosis Virus	Asian seabass NN Virus	0.344592310025111	1	RNA virus	TRUE
Muscle	11	Wenzhou pacific spadenose shark reovirus 2	Wenzhou pS shark reovirus 2	1.98340122810956	1	RNA virus	TRUE
Muscle	12	Nanhai reo-like virus 4	Nanhai reo-like virus 4	1.19547021447696	1	RNA virus	FALSE
Muscle	13	Nanhai retrovirus 2	Nanhai retrovirus 2	0.66716090534084	1	RNA virus	FALSE
Muscle	14	Photobacterium sp.	Photobacterium sp.	0.474433933438856	1	Bacteria	FALSE
Muscle	15	Photobacterium damselae	Photobacterium damselae	0.472098200471493	1	Bacteria	TRUE
Muscle	16	Glugea plecoglossi	Glugea plecoglossi	0.815735296125928	1	Eukaryota	TRUE
Muscle	17	Toxocaridae sp. Z	Toxocaridae sp. Z	0.529741313624988	1	Eukaryota	FALSE
Muscle	18	Toxocara sp. CTSZ	Toxocara sp. CTSZ	1.38107620609259	1	Eukaryota	FALSE
Muscle	19	Strigeidida sp. FJ	Strigeidida sp. FJ	0.799770652682558	1	Eukaryota	FALSE
Skin	2	Gymnothorax reevesii picornavirus	Gymn. reevesii picornavirus	2.23087791112931	4	RNA virus	FALSE
Skin	3	Vibrio ponticus	Vibrio ponticus	0.593966054718376	4	Bacteria	TRUE
Skin	4	Nanhai retrovirus 1	Nanhai retrovirus 1	0.641047041435524	3	RNA virus	FALSE
Skin	5	Acinetobacter johnsonii	Acinetobacter johnsonii	0.807200593986423	3	Bacteria	TRUE
Skin	6	Bombay duck fish bornavirus	Bombay duck fish bornavirus	2.83043556883889	2	RNA virus	TRUE
Skin	7	Asian seabass Nervous Necrosis Virus	Asian seabass NN Virus	0.416193894433252	2	RNA virus	TRUE
Skin	8	Nanhai reo-like virus 7	Nanhai reo-like virus 7	0.461421666216133	2	RNA virus	FALSE
Skin	9	Aliivibrio fischeri	Aliivibrio fischeri	0.602198187899719	2	Bacteria	TRUE
Skin	10	Vibrio sp. Y	Vibrio sp. Y	0.395301978916428	2	Bacteria	FALSE
Skin	11	Glugea plecoglossi	Glugea plecoglossi	1.25621089010416	2	Eukaryota	TRUE
Skin	12	Caligus sp. RWXLT	Caligus sp. RWXLT	0.908956639271716	2	Eukaryota	FALSE
Skin	13	Odontamblyopus rubicundus hepacivirus	Odon. rubicundus hepacivirus	0.315199511851077	1	RNA virus	FALSE
Skin	14	Johnius belangerii hepacivirus	Johnius belangerii hepacivirus	0.394258223821675	1	RNA virus	FALSE
Skin	15	Paramonacanthus sulcatus filovirus	Para. sulcatus filovirus	0.87709536398956	1	RNA virus	TRUE
Skin	16	Psenopsis anomala artervirus	Psenopsis anomala artervirus	0.404218444994853	1	RNA virus	FALSE
Skin	17	Arius arius calicivirus	Arius arius calicivirus	0.59666789744706	1	RNA virus	FALSE
Skin	18	Polydactylus sextarius picornavirus	Poly. sextarius picornavirus	0.324222865389292	1	RNA virus	FALSE
Skin	19	Wenzhou pacific spadenose shark reovirus 2	Wenzhou ps shark reovirus 2	0.322625457756779	1	RNA virus	TRUE
Skin	20	Nanhai reo-like virus 2	Nanhai reo-like virus 2	0.375960417620187	1	RNA virus	FALSE
Skin	21	Nanhai reo-like virus 5	Nanhai reo-like virus 5	0.813831604494263	1	RNA virus	FALSE
Skin	22	Nanhai reo-like virus 6	Nanhai reo-like virus 6	0.422726252545801	1	RNA virus	FALSE
Skin	23	Osteomugil cunnesius hepadna-like virus	Os. cunnesius hepadna-like virus	0.73812801947933	1	DNA virus	FALSE
Skin	24	Nanhai hepadna-like virus 1	Nanhai hepadna-like virus 1	1.02028869992454	1	DNA virus	FALSE
Skin	25	Nanhai circo-like virus 2	Nanhai circo-like virus 2	1.01990621690459	1	DNA virus	FALSE
Skin	26	Nanhai retrovirus 2	Nanhai retrovirus 2	0.441232915717015	1	RNA virus	FALSE
Skin	27	Photobacterium sp.	Photobacterium sp.	0.416328250026671	1	Bacteria	FALSE
Spleen	2	Toxocara sp. CTSZ	Toxocara sp. CTSZ	1.96968559062165	9	Eukaryota	FALSE
Spleen	3	Nanhai reo-like virus 5	Nanhai reo-like virus 5	1.13232970098486	5	RNA virus	FALSE
Spleen	4	Nanhai reo-like virus 6	Nanhai reo-like virus 6	0.573640024286244	5	RNA virus	FALSE
Spleen	5	Odontamblyopus rubicundus hepacivirus	Odon. rubicundus hepacivirus	1.1448710153998	2	RNA virus	FALSE
Spleen	6	Bombay duck fish bornavirus	Bombay duck fish bornavirus	2.79615578459411	2	RNA virus	TRUE
Spleen	7	Gymnothorax reevesii picornavirus	Gymn. reevesii picornavirus	0.452308640930322	2	RNA virus	FALSE
Spleen	8	Nanhai reo-like virus 2	Nanhai reo-like virus 2	3.06072167227029	2	RNA virus	FALSE
Spleen	9	Nanhai reo-like virus 4	Nanhai reo-like virus 4	3.09711432726425	2	RNA virus	FALSE
Spleen	10	Nanhai reo-like virus 7	Nanhai reo-like virus 7	2.92845894392729	2	RNA virus	FALSE
Spleen	11	Marble sleepy goby iridovirus	Marble sleepy goby iridovirus	1.52603850317847	2	DNA virus	TRUE
Spleen	12	Nanhai retrovirus 1	Nanhai retrovirus 1	1.60644975838617	2	RNA virus	FALSE
