original_id	display_species	family
CLUIR021-16|Sardinella_sindensis|COI-5P|MG462820	Sardinella sindensis	Clupeidae
GBMND65885-21|Thryssa_mystax|COI-5P|MT080458	Thryssa mystax	Engraulidae
ANGBF1018-12|Thryssa_adelae|COI-5P|HM180924	Thryssa adelae	Engraulidae
GBMNE36152-21|Saurida_brasiliensis|COI-5P|MT580050	Saurida brasiliensis	Synodontidae
PHILA1814-16|Saurida_longimanus|COI-5P|OQ385517	Saurida longimanus	Synodontidae
ANGBF30335-19|Larimichthys_polyactis|COI-3P|KY623587	Larimichthys polyactis	Sciaenidae
BAHIA136-14|Decapterus_punctatus|COI-5P	Decapterus punctatus	Carangidae
TZSAN146-06|Decapterus_russelli|COI-5P	Decapterus russelli	Carangidae
ANGBF54216-19|Ilisha_filigera|COI-5P|MH325637	Ilisha filigera	Pristigasteridae
ANGBF15191-19|Odontamblyopus_lacepedii|COI-5P|MF415097	Odontamblyopus lacepedii	Gobiidae
TOCAN287-23|Ilisha_amazonica|COI-5P|OR732973	Ilisha amazonica	Pristigasteridae
GBMIN128120-17|Sillago_indica|COI-5P|KM350230	Sillago indica	Sillaginidae
FMVIC558-08|Sillago_flindersi|COI-5P	Sillago flindersi	Sillaginidae
BPC005-13|Arius_dispar|COI-5P|KF604631	Arius dispar	Ariidae
SRFBI025-11|Opsarius_bendelisis|COI-5P|JN965194	Opsarius bendelisis	Danionidae
TZMSB236-04|Polydactylus_malagasyensis|COI-5P|JF494201	Polydactylus malagasyensis	Polynemidae
FOAQ864-22|Polydactylus_plebeius|COI-5P	Polydactylus plebeius	Polynemidae
ANGBF40501-19|Siganus_javus|COI-5P|LC071535	Siganus javus	Siganidae
TZMSC618-06|Lagocephalus_inermis|COI-5P|JF493725	Lagocephalus inermis	Tetraodontidae
GBMNB10821-20|Lagocephalus_guentheri|COI-5P|MN586893	Lagocephalus guentheri	Tetraodontidae
ANGBF5180-12|Chelon_auratus|COI-5P|JQ060456	Chelon auratus	Mugilidae
DPND757-15|Bregmaceros_atlanticus|COI-5P	Bregmaceros atlanticus	Bregmacerotidae
MOP156-12|Bregmaceros_bathymaster|COI-5P|MF956547	Bregmaceros bathymaster	Bregmacerotidae
GBMIN96582-17|Johnius_carouna|COI-5P|KX777955	Johnius carouna	Sciaenidae
GBMIN121293-17|Johnius_borneensis|COI-5P|KX777949	Johnius borneensis	Sciaenidae
GBMNE55273-22|Scoliodon_laticaudus|COI-5P|MW974676	Scoliodon laticaudus	Carcharhinidae
GBGC11850-13|Telatrygon_acutirostra|COI-5P|JQ681477	Telatrygon acutirostra	Dasyatidae
ANGBF12124-15|Glyphis_glyphis|COI-5P|KM100698	Glyphis glyphis	Carcharhinidae
GBGC16865-19|Glyphis_gangeticus|COI-5P|MH244901	Glyphis gangeticus	Carcharhinidae
ESHKD038-07|Negaprion_brevirostris|COI-5P|FJ519226	Negaprion brevirostris	Carcharhinidae
FOAE161-06|Negaprion_acutidens|COI-5P|EU398936	Negaprion acutidens	Carcharhinidae
GBMNE55774-22|Sphyrna_lewini|COI-5P|ON920236	Sphyrna lewini	Carcharhinidae
ANGBF12584-15|Sphyrna_zygaena|COI-5P|KP177226	Sphyrna zygaena	Carcharhinidae
GBMNF42712-22|Sphyrna_corona|COI-5P|MW714794	Sphyrna corona	Carcharhinidae
FOAL373-10|Bathytoshia_lata|COI-5P|HQ956136	Bathytoshia lata	Dasyatidae
FOAO1157-18|Taeniurops_meyeni|COI-5P	Taeniurops meyeni	Dasyatidae
ANGBF48175-19|Neotrygon_kuhlii|COI-5P|KU498022	Neotrygon kuhlii	Dasyatidae
FOA208-04|Neotrygon_australiae|COI-5P|DQ108184	Neotrygon australiae	Dasyatidae
FOAH748-08|Neotrygon_picta|COI-5P|KC250641	Neotrygon picta	Dasyatidae
SOPNG108-18|Galeocerdo_cuvier|COI-5P	Galeocerdo cuvier	Carcharhinidae
ANGBF47905-19|Bathytoshia_centroura|COI-5P|KY909378	Bathytoshia centroura	Dasyatidae
FOAE310-06|Carcharhinus_amblyrhynchos|COI-5P|EU398596	Carcharhinus amblyrhynchos	Carcharhinidae
JTF028-17|Carcharhinus_brevipinna|COI-5P	Carcharhinus brevipinna	Carcharhinidae
ANGBF12903-18|Carcharhinus_falciformis|COI-5P|KX789508	Carcharhinus falciformis	Carcharhinidae
GBMNE55517-22|Brevitrygon_walga|COI-5P|OP419576	Brevitrygon walga	Dasyatidae
GBMNE55139-22|Brevitrygon_imbricata|COI-5P|MT308601	Brevitrygon imbricata	Dasyatidae
SOPNG020-18|Loxodon_macrorhinus|COI-5P	Loxodon macrorhinus	Carcharhinidae
MXV519-12|Hypanus_americanus|COI-5P	Hypanus americanus	Dasyatidae
ANGBF2033-12|Hypanus_dipterurus|COI-5P|JN184058	Hypanus dipterurus	Dasyatidae
KERRI370-08|Lamiopsis_temminckii|COI-5P	Lamiopsis temminckii	Carcharhinidae
GBGC12833-13|Himantura_gerrardi|COI-5P|JX263424	Himantura gerrardi	Dasyatidae
ANGBF48814-19|Lamiopsis_tephrodes|COI-5P|MG594058	Lamiopsis tephrodes	Carcharhinidae
IRREK187-08|Himantura_jenkinsii|COI-5P	Himantura jenkinsii	Dasyatidae
FOAE155-06|Triaenodon_obesus|COI-5P|EU399060	Triaenodon obesus	Carcharhinidae
SOPNG001-18|Rhizoprionodon_taylori|COI-5P	Rhizoprionodon taylori	Carcharhinidae
JTF016-17|Rhizoprionodon_acutus|COI-5P	Rhizoprionodon acutus	Carcharhinidae
JTFR192-20|Fluvitrygon_kittipongi|COI-5P	Fluvitrygon kittipongi	Dasyatidae
MFSP2008-11|Rhizoprionodon_lalandii|COI-5P|JQ365528	Rhizoprionodon lalandii	Carcharhinidae
ANGBF49231-19|Rhizoprionodon_porosus|COI-5P|MH911018	Rhizoprionodon porosus	Carcharhinidae
BIM343-13|Dasyatis_pastinaca|COI-5P	Dasyatis pastinaca	Dasyatidae
MFSP1985-11|Dasyatis_hypostigma|COI-5P|JX124771	Dasyatis hypostigma	Dasyatidae
KERRI308-08|Isogomphodon_oxyrhynchus|COI-5P	Isogomphodon oxyrhynchus	Carcharhinidae
ANGBF12236-15|Prionace_glauca|COI-5P|KP719438	Prionace glauca	Carcharhinidae
Lethenteron_camtschaticum_KU867905.1	Lethenteron camtschaticum	Petromyzontidae
